"filename", "language", "HTML", "C++", "JSON", "CMake", "YAML", "Markdown", "Dart", "Swift", "XML", "Python", "Java Properties", "Gradle", "comment", "blank", "total"
"c:\Users\Acer\u_teen\package-lock.json", "JSON", 0, 0, 862, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 863
"c:\Users\Acer\u_teen\package.json", "JSON", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
"c:\Users\Acer\u_teen\pubspec.yaml", "YAML", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 3, 12, 57
"c:\Users\Acer\u_teen\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Users\Acer\u_teen\web\index.html", "HTML", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 5, 39
"c:\Users\Acer\u_teen\web\manifest.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\Acer\u_teen\windows\CMakeLists.txt", "CMake", 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 109
"c:\Users\Acer\u_teen\windows\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 110
"c:\Users\Acer\u_teen\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 27
"c:\Users\Acer\u_teen\windows\flutter\generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\Acer\u_teen\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29
"c:\Users\Acer\u_teen\windows\runner\CMakeLists.txt", "CMake", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"c:\Users\Acer\u_teen\windows\runner\flutter_window.cpp", "C++", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\Users\Acer\u_teen\windows\runner\flutter_window.h", "C++", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\Acer\u_teen\windows\runner\main.cpp", "C++", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\Acer\u_teen\windows\runner\resource.h", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\Acer\u_teen\windows\runner\utils.cpp", "C++", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Users\Acer\u_teen\windows\runner\utils.h", "C++", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\Acer\u_teen\windows\runner\win32_window.cpp", "C++", 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\Acer\u_teen\windows\runner\win32_window.h", "C++", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 19, 559, 1299, 467, 50, 531, 14733, 69, 471, 157, 11, 26, 319, 1433, 20144
